R,G,B,Artkal Midi Soft,Artkal Mini Soft,Artkal Mini,Artkal Midi,Name
255,255,255,R01,A01,C01,S01,White
255,163,139,R02,A44,C44,S02,Burning Sand
246,176,76,R03,A03,C03,S03,Tangerine
255,103,31,R04,A17,C17,S04,Orange
225,6,0,R05,A05,C05,S05,Tall Poppy
236,134,208,R06,A49,C49,S06,Raspberry Pink
155,155,155,R07,A33,C33,S07,Gray
36,222,91,R08,,,S08,Emerald
0,104,94,R09,,,S09,Dark Green
65,182,230,R10,A19,C19,S10,Baby Blue
79,159,179,,A99,C99,S100,Lagoon
49,150,221,,A100,C100,S101,Electric Blue
27,108,182,,A101,C101,S102,Pool Blue
8,57,128,,A102,C102,S103,Caribbean Blue
10,102,139,,A103,C103,S104,Deep Water
8,91,110,,A104,C104,S105,Petrol Blue
0,78,120,,A105,C105,S106,Wegdewood Blue
0,85,116,,A106,C106,S107,Pond Blue
204,190,128,,A107,C107,S108,Seashell Beige
164,147,80,,A108,C108,S109,Beige
0,51,153,R11,A21,C21,S11,Dark Blue
158,136,60,,A109,C109,S110,Beach Beige
118,108,43,,A110,C110,S111,Caffe Latté
121,95,38,,A111,C111,S112,Oaktree Brown
186,184,162,,A112,C112,S113,Khaki
114,140,84,,A113,C113,S114,Light Greengray
126,124,68,,A114,C114,S115,Mossy Green
100,105,46,,A115,C115,S116,Earth Green
78,88,44,,A116,C116,S117,Sage Green
74,94,45,,A117,C117,S118,Pinetree Green
113,196,182,,A118,C118,S119,Frosty Blue
160,94,181,R12,A26,C26,S12,Pastel Lavender
102,204,153,,A119,C119,S120,Polar Mint
86,154,131,,A120,C120,S121,Celadon Green
20,194,91,,A121,C121,S122,Eucalyptus
24,168,24,,A122,C122,S123,Clover Field
4,85,46,,A123,C123,S124,Pooltable Felt
19,107,90,,A124,C124,S125,Snake Green
5,70,65,,A125,C125,S126,Dark Eucalyptus
217,182,214,,A126,C126,S127,Marsmallow Rose
173,98,164,,A127,C127,S128,Light Grape
230,140,163,,A128,C128,S129,Rosebud Pink
0,0,0,R13,A02,C02,S13,Black
222,84,121,,A129,C129,S130,Fuschia
158,130,186,,A130,C130,S131,Candy Violet
232,65,107,,A131,C131,S132,Flamingo
183,56,143,,A132,C132,S133,Pink Plum
88,31,126,,A133,C133,S134,Amethyst
140,163,212,,A134,C134,S135,Moonlight Blue
154,154,204,,A135,C135,S136,Summer Rain
89,129,193,,A136,C136,S137,Azure Blue
65,102,176,,A137,C137,S138,Cornflower Blue
71,95,171,,A138,C138,S139,Forget Me Not
250,224,83,R14,A42,C42,S14,Sandstorm
55,69,147,,A139,C139,S140,Indigo
61,86,165,,A140,C140,S141,Horizon Blue
41,66,135,,A141,C141,S142,Cobalt
37,38,138,,A142,C142,S143,Royal Blue
26,47,111,,A143,C143,S144,Marine
211,201,93,,A144,C144,S145,Pale Yellow Moss
81,9,24,,A145,C145,S146,Bloodrose Red
100,179,158,,A146,C146,S147,Spearmint
99,67,56,,A147,C147,S148,Mocha
237,211,158,,A148,C148,S149,Creme
122,62,44,R15,A30,C30,S15,Redwood
105,99,171,,A149,C149,S150,Iris Violet
43,63,31,,A150,C150,S151,Forest Green
151,145,197,,A151,C151,S152,Lilac
184,189,224,,A152,C152,S153,Pale Lilac
249,200,152,,A153,C153,S154,Sahara Sand
195,144,105,,A154,C154,S155,Sunkissed Teint
90,90,90,,A155,C155,S156,Steel Grey
60,60,60,,A156,C156,S157,Iron Grey
26,26,26,,A157,C157,S158,Pepper
139,139,139,,A56,C56,S159,Oslo Gray
92,71,56,R16,A32,C32,S16,Brown
123,77,53,R17,A31,C31,S17,Light Brown
204,153,102,R18,A23,C23,S18,Sand
252,191,169,R19,A22,C22,S19,Bubble Gum
36,158,107,R20,A14,C14,S20,Green
135,216,57,R21,A13,C13,S21,Pastel Green
51,0,114,R22,A27,C27,S22,Purple
100,53,155,R23,,,S23,Royal Purple
20,123,209,R24,A37,C37,S24,True Blue
255,52,179,R25,A08,C08,S25,Hot Pink
219,33,82,R26,A09,C09,S26,Magenta
255,209,0,R27,A11,C11,S27,Yellow
234,184,228,R28,,,S28,Lily Pink
246,235,97,R29,A41,C41,S29,Pastel Yellow
153,214,234,R30,A39,C39,S30,Shadow Green
158,229,176,R31,A60,C60,S31,Sea Mist
255,231,128,R32,A24,C24,S32,Beeswax
197,180,227,R33,A50,C50,S33,Maverick
186,12,47,R34,A06,C06,S34,Red
247,206,215,R35,,,S35,Mona Lisa
201,128,158,R36,A36,C36,S36,Old Pink
113,216,191,R37,,,S37,Blue-Green
171,37,86,R38,,,S38,Burgundy
237,139,0,R39,A04,C04,S39,Yellow Orange
241,167,220,R40,A07,C07,S40,Carnation Pink
154,85,22,R41,,,S41,Metallic Gold
125,124,121,R42,A35,C35,S42,Metallic Silver
118,119,119,R43,A34,C34,S43,Dark Gray
170,220,235,R44,A18,C18,S44,Sky Blue
0,178,169,R45,A54,C54,S45,Medium Turquoise
115,211,60,R46,A53,C53,S46,Bright Green
180,126,0,R47,A28,C28,S47,Marigold
255,199,44,R48,A48,C48,S48,Corn
114,25,95,R49,,,S49,Mulberry Wood
250,170,114,R50,,,S50,Mandy's Pink
252,251,205,R51,A51,C51,S51,Spring Sun
242,240,161,R52,A10,C10,S52,Picasso
105,179,231,R53,A38,C38,S53,Turquoise
0,144,218,R54,A20,C20,S54,Light Blue
173,220,145,R57,A12,C12,S55,Pistachio
255,106,19,R59,A16,C16,S56,Bright Carrot
164,73,61,R63,A29,C29,S57,Buccaneer
165,0,52,R64,A43,C43,S58,Paprika
74,31,135,,A52,C52,S59,Butterfly Bush
167,123,202,R66,A25,C25,S60,Lavender
206,220,0,R68,A40,C40,S61,Key Lime Pie
0,124,88,R69,A15,C15,S62,Green Tea
88,87,53,R70,,,S63,Metallic Copper
5,8,73,R55,A58,C58,S64,Black Rock
243,234,93,R58,A46,C46,S65,Canary
244,99,58,R60,,,S66,Blaze Orange
243,207,179,R61,A47,C47,S67,Vanilla
225,192,120,R71,,,S68,Tan
40,40,40,R72,A69,C69,S69,Mine Shaft
155,188,17,R89,A84,C84,S70,Dark Algae
0,133,34,R73,A86,C86,S71,Jade Green
89,213,216,R74,A79,C79,S72,Light Sea Blue
72,169,197,R91,A81,C81,S73,Steel Blue
0,174,214,R75,A82,C82,S74,Azure
0,133,173,R92,A83,C83,S75,Dark Steel Blue
0,174,199,R76,A80,C80,S76,Sea Blue
239,239,239,R77,A87,C87,S77,Ghost While
209,209,209,R78,A88,C88,S78,Ash Grey
187,188,188,R79,A89,C89,S79,Light Gray
153,155,48,R90,A85,C85,S80,Dark Olive
205,178,119,R81,A74,C74,S81,Deer
181,129,80,R82,A75,C75,S82,Clay
184,97,37,R83,A73,C73,S83,Sienna
170,87,97,R84,A77,C77,S84,Deep Chestnut
92,19,27,R85,A78,C78,S85,Red Wine
234,170,0,R86,A71,C71,S86,Goldenrod
255,109,106,R87,A76,C76,S87,Coral Red
218,24,132,,,,S88,Dark Pink
77,77,77,R88,A90,C90,S89,Charcoal Gray
255,197,110,R80,A72,C72,S90,Pastel Orange
24,48,40,R93,A70,C70,S91,Brunswick Green
222,185,71,,A91,C91,S92,Dandelion
218,182,152,,A92,C92,S93,Pale Skin
244,169,153,,A93,C93,S94,Warm Blush
238,125,103,,A94,C94,S95,Salmon
240,134,97,,A95,C95,S96,Apricot
212,114,42,,A96,C96,S97,Papaya
100,172,223,,A97,C97,S98,Himalaya Blue
100,194,220,,A98,C98,S99,Waterfall
93,219,93,R56,A45,C45,,Spring Green
108,194,74,,A55,C55,,Confier
188,4,35,R65,A57,C57,,Fresh Red
83,26,35,R62,A59,C59,,Scarlett
241,235,156,,A61,C61,,Feta
252,63,63,,A62,C62,,Carnation
234,190,219,,A63,C63,,Pink Pearl
165,0,80,,A64,C64,,Rose
239,129,46,,A65,C65,,Mango Tango
252,108,133,,A66,C66,,Wild Watermelon
177,78,181,,A67,C67,,Orchid
105,194,238,,A68,C68,,Toothpaste Blue
255,197,110,R67,,,,Yolk Yellow